description,industry,level,size,line_code,value
"Markets where business sold raw, unprocessed materials - NZ only","Professional, scientific, & technical services",1,total,C0201.01,93
"Markets where business sold raw, unprocessed materials - NZ only",Computer systems design,2,total,C0201.01,18
"Markets where business sold raw, unprocessed materials - NZ only",Other professional scientific,2,total,C0201.01,81
"Markets where business sold raw, unprocessed materials - NZ only",Administrative & support services,1,total,C0201.01,54
"Markets where business sold raw, unprocessed materials - NZ only",Education & training,1,total,C0201.01,18
"Markets where business sold raw, unprocessed materials - NZ only",Health care & social assistance,1,total,C0201.01,33
"Markets where business sold raw, unprocessed materials - NZ only",Arts & recreation services,1,total,C0201.01,3
"Markets where business sold raw, unprocessed materials - NZ only",Other services,1,total,C0201.01,42
"Markets where business sold raw, unprocessed materials - NZ only",total,0,total,C0201.01,4044
"Markets where business sold raw, unprocessed materials - overseas only",total,0,6–19 employees,C0201.02,51
"Markets where business sold raw, unprocessed materials - overseas only",total,0,20–49 employees,C0201.02,12
"Markets where business sold raw, unprocessed materials - overseas only",total,0,50–99 employees,C0201.02,3
"Markets where business sold raw, unprocessed materials - overseas only",total,0,100+ employees,C0201.02,6
"Markets where business sold raw, unprocessed materials - overseas only","Agriculture, forestry, & fishing",1,total,C0201.02,30
"Markets where business sold raw, unprocessed materials - overseas only",Agriculture,2,total,C0201.02,27
"Markets where business sold raw, unprocessed materials - overseas only",Commercial fishing,2,total,C0201.02,3
"Markets where business sold raw, unprocessed materials - overseas only",Forestry & logging,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only","Agriculture, forestry, & fishing support services",2,total,C0201.02,6
"Markets where business sold raw, unprocessed materials - overseas only",Mining,1,total,C0201.02,3
"Markets where business sold raw, unprocessed materials - overseas only",Manufacturing,1,total,C0201.02,12
"Markets where business sold raw, unprocessed materials - overseas only","Food, beverage, & tobacco",2,total,C0201.02,3
"Markets where business sold raw, unprocessed materials - overseas only","Textile, clothing, footwear, & leather",2,total,C0201.02,3
"Markets where business sold raw, unprocessed materials - overseas only",Wood & paper product,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only","Printing, publishing, & recorded media",2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only","Petroleum, coal, chemical, & associated product",2,total,C0201.02,6
"Markets where business sold raw, unprocessed materials - overseas only",Non-metallic mineral product,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Metal product,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Transport and industrial machinery & equipment,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Other machinery & equipment,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Other manufacturing,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only","Electricity, gas, water, & waste services",1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Construction,1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Wholesale trade,1,total,C0201.02,21
"Markets where business sold raw, unprocessed materials - overseas only",Machinery & equipment wholesaling,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Other wholesale trade,2,total,C0201.02,21
"Markets where business sold raw, unprocessed materials - overseas only",Retail trade,1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Accommodation & food services,1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only","Transport, postal, & warehousing",1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Information media & telecommunications,1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Publishing,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Motion picture,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Telecommunications,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Financial & insurance services,1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Finance,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Insurance,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Auxiliary,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only","Rental, hiring, & real estate services",1,total,C0201.02,3
"Markets where business sold raw, unprocessed materials - overseas only","Professional, scientific, & technical services",1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Computer systems design,2,total,C0201.02,3
"Markets where business sold raw, unprocessed materials - overseas only",Other professional scientific,2,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Administrative & support services,1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Education & training,1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Health care & social assistance,1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Arts & recreation services,1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",Other services,1,total,C0201.02,0
"Markets where business sold raw, unprocessed materials - overseas only",total,0,total,C0201.02,75
"Markets where business sold raw, unprocessed materials - NZ and overseas",total,0,6–19 employees,C0201.03,507
"Markets where business sold raw, unprocessed materials - NZ and overseas",total,0,20–49 employees,C0201.03,162
"Markets where business sold raw, unprocessed materials - NZ and overseas",total,0,50–99 employees,C0201.03,84
"Markets where business sold raw, unprocessed materials - NZ and overseas",total,0,100+ employees,C0201.03,90
"Markets where business sold raw, unprocessed materials - NZ and overseas","Agriculture, forestry, & fishing",1,total,C0201.03,303
"Markets where business sold raw, unprocessed materials - NZ and overseas",Agriculture,2,total,C0201.03,225
"Markets where business sold raw, unprocessed materials - NZ and overseas",Commercial fishing,2,total,C0201.03,9
"Markets where business sold raw, unprocessed materials - NZ and overseas",Forestry & logging,2,total,C0201.03,42
"Markets where business sold raw, unprocessed materials - NZ and overseas","Agriculture, forestry, & fishing support services",2,total,C0201.03,30
"Markets where business sold raw, unprocessed materials - NZ and overseas",Mining,1,total,C0201.03,12
"Markets where business sold raw, unprocessed materials - NZ and overseas",Manufacturing,1,total,C0201.03,198
"Markets where business sold raw, unprocessed materials - NZ and overseas","Food, beverage, & tobacco",2,total,C0201.03,135
"Markets where business sold raw, unprocessed materials - NZ and overseas","Textile, clothing, footwear, & leather",2,total,C0201.03,15
"Markets where business sold raw, unprocessed materials - NZ and overseas",Wood & paper product,2,total,C0201.03,12
"Markets where business sold raw, unprocessed materials - NZ and overseas","Printing, publishing, & recorded media",2,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas","Petroleum, coal, chemical, & associated product",2,total,C0201.03,15
"Markets where business sold raw, unprocessed materials - NZ and overseas",Non-metallic mineral product,2,total,C0201.03,6
"Markets where business sold raw, unprocessed materials - NZ and overseas",Metal product,2,total,C0201.03,3
"Markets where business sold raw, unprocessed materials - NZ and overseas",Transport and industrial machinery & equipment,2,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",Other machinery & equipment,2,total,C0201.03,3
"Markets where business sold raw, unprocessed materials - NZ and overseas",Other manufacturing,2,total,C0201.03,9
"Markets where business sold raw, unprocessed materials - NZ and overseas","Electricity, gas, water, & waste services",1,total,C0201.03,9
"Markets where business sold raw, unprocessed materials - NZ and overseas",Construction,1,total,C0201.03,3
"Markets where business sold raw, unprocessed materials - NZ and overseas",Wholesale trade,1,total,C0201.03,219
"Markets where business sold raw, unprocessed materials - NZ and overseas",Machinery & equipment wholesaling,2,total,C0201.03,18
"Markets where business sold raw, unprocessed materials - NZ and overseas",Other wholesale trade,2,total,C0201.03,198
"Markets where business sold raw, unprocessed materials - NZ and overseas",Retail trade,1,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",Accommodation & food services,1,total,C0201.03,3
"Markets where business sold raw, unprocessed materials - NZ and overseas","Transport, postal, & warehousing",1,total,C0201.03,48
"Markets where business sold raw, unprocessed materials - NZ and overseas",Information media & telecommunications,1,total,C0201.03,3
"Markets where business sold raw, unprocessed materials - NZ and overseas",Publishing,2,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",Motion picture,2,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",Telecommunications,2,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",Financial & insurance services,1,total,C0201.03,6
"Markets where business sold raw, unprocessed materials - NZ and overseas",Finance,2,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",Insurance,2,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",Auxiliary,2,total,C0201.03,6
"Markets where business sold raw, unprocessed materials - NZ and overseas","Rental, hiring, & real estate services",1,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas","Professional, scientific, & technical services",1,total,C0201.03,27
"Markets where business sold raw, unprocessed materials - NZ and overseas",Computer systems design,2,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",Other professional scientific,2,total,C0201.03,30
"Markets where business sold raw, unprocessed materials - NZ and overseas",Administrative & support services,1,total,C0201.03,9
"Markets where business sold raw, unprocessed materials - NZ and overseas",Education & training,1,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",Health care & social assistance,1,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",Arts & recreation services,1,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",Other services,1,total,C0201.03,0
"Markets where business sold raw, unprocessed materials - NZ and overseas",total,0,total,C0201.03,843
"Markets where business sold raw, unprocessed materials - not applicable",total,0,6–19 employees,C0201.04,29625
"Markets where business sold raw, unprocessed materials - not applicable",total,0,20–49 employees,C0201.04,6918
"Markets where business sold raw, unprocessed materials - not applicable",total,0,50–99 employees,C0201.04,2022
"Markets where business sold raw, unprocessed materials - not applicable",total,0,100+ employees,C0201.04,1641
"Markets where business sold raw, unprocessed materials - not applicable","Agriculture, forestry, & fishing",1,total,C0201.04,2028
"Markets where business sold raw, unprocessed materials - not applicable",Agriculture,2,total,C0201.04,1107
"Markets where business sold raw, unprocessed materials - not applicable",Commercial fishing,2,total,C0201.04,21
"Markets where business sold raw, unprocessed materials - not applicable",Forestry & logging,2,total,C0201.04,135
"Markets where business sold raw, unprocessed materials - not applicable","Agriculture, forestry, & fishing support services",2,total,C0201.04,768
"Markets where business sold raw, unprocessed materials - not applicable",Mining,1,total,C0201.04,45
"Markets where business sold raw, unprocessed materials - not applicable",Manufacturing,1,total,C0201.04,4551
"Markets where business sold raw, unprocessed materials - not applicable","Food, beverage, & tobacco",2,total,C0201.04,873
"Markets where business sold raw, unprocessed materials - not applicable","Textile, clothing, footwear, & leather",2,total,C0201.04,231
"Markets where business sold raw, unprocessed materials - not applicable",Wood & paper product,2,total,C0201.04,462
"Markets where business sold raw, unprocessed materials - not applicable","Printing, publishing, & recorded media",2,total,C0201.04,231
"Markets where business sold raw, unprocessed materials - not applicable","Petroleum, coal, chemical, & associated product",2,total,C0201.04,381
"Markets where business sold raw, unprocessed materials - not applicable",Non-metallic mineral product,2,total,C0201.04,150
"Markets where business sold raw, unprocessed materials - not applicable",Metal product,2,total,C0201.04,891
"Markets where business sold raw, unprocessed materials - not applicable",Transport and industrial machinery & equipment,2,total,C0201.04,801
"Markets where business sold raw, unprocessed materials - not applicable",Other machinery & equipment,2,total,C0201.04,213
"Markets where business sold raw, unprocessed materials - not applicable",Other manufacturing,2,total,C0201.04,315
"Markets where business sold raw, unprocessed materials - not applicable","Electricity, gas, water, & waste services",1,total,C0201.04,156
"Markets where business sold raw, unprocessed materials - not applicable",Construction,1,total,C0201.04,5697
"Markets where business sold raw, unprocessed materials - not applicable",Wholesale trade,1,total,C0201.04,2658
"Markets where business sold raw, unprocessed materials - not applicable",Machinery & equipment wholesaling,2,total,C0201.04,921
"Markets where business sold raw, unprocessed materials - not applicable",Other wholesale trade,2,total,C0201.04,1737
"Markets where business sold raw, unprocessed materials - not applicable",Retail trade,1,total,C0201.04,4077
"Markets where business sold raw, unprocessed materials - not applicable",Accommodation & food services,1,total,C0201.04,6018
"Markets where business sold raw, unprocessed materials - not applicable","Transport, postal, & warehousing",1,total,C0201.04,1461
"Markets where business sold raw, unprocessed materials - not applicable",Information media & telecommunications,1,total,C0201.04,396
"Markets where business sold raw, unprocessed materials - not applicable",Publishing,2,total,C0201.04,138
"Markets where business sold raw, unprocessed materials - not applicable",Motion picture,2,total,C0201.04,126
"Markets where business sold raw, unprocessed materials - not applicable",Telecommunications,2,total,C0201.04,126
"Markets where business sold raw, unprocessed materials - not applicable",Financial & insurance services,1,total,C0201.04,591
"Markets where business sold raw, unprocessed materials - not applicable",Finance,2,total,C0201.04,198
"Markets where business sold raw, unprocessed materials - not applicable",Insurance,2,total,C0201.04,33
"Markets where business sold raw, unprocessed materials - not applicable",Auxiliary,2,total,C0201.04,363
"Markets where business sold raw, unprocessed materials - not applicable","Rental, hiring, & real estate services",1,total,C0201.04,954
"Markets where business sold raw, unprocessed materials - not applicable","Professional, scientific, & technical services",1,total,C0201.04,4518
"Markets where business sold raw, unprocessed materials - not applicable",Computer systems design,2,total,C0201.04,825
"Markets where business sold raw, unprocessed materials - not applicable",Other professional scientific,2,total,C0201.04,3696
"Markets where business sold raw, unprocessed materials - not applicable",Administrative & support services,1,total,C0201.04,1701
"Markets where business sold raw, unprocessed materials - not applicable",Education & training,1,total,C0201.04,975
"Markets where business sold raw, unprocessed materials - not applicable",Health care & social assistance,1,total,C0201.04,2658
"Markets where business sold raw, unprocessed materials - not applicable",Arts & recreation services,1,total,C0201.04,480
"Markets where business sold raw, unprocessed materials - not applicable",Other services,1,total,C0201.04,1230
"Markets where business sold raw, unprocessed materials - not applicable",total,0,total,C0201.04,40206
Markets where business sold manufactured or finished goods - NZ only,total,0,6–19 employees,C0202.01,9636
Markets where business sold manufactured or finished goods - NZ only,total,0,20–49 employees,C0202.01,2505
Markets where business sold manufactured or finished goods - NZ only,total,0,50–99 employees,C0202.01,621
Markets where business sold manufactured or finished goods - NZ only,total,0,100+ employees,C0202.01,498
Markets where business sold manufactured or finished goods - NZ only,"Agriculture, forestry, & fishing",1,total,C0202.01,237
Markets where business sold manufactured or finished goods - NZ only,Agriculture,2,total,C0202.01,132
Markets where business sold manufactured or finished goods - NZ only,Commercial fishing,2,total,C0202.01,9
Markets where business sold manufactured or finished goods - NZ only,Forestry & logging,2,total,C0202.01,15
Markets where business sold manufactured or finished goods - NZ only,"Agriculture, forestry, & fishing support services",2,total,C0202.01,81
Markets where business sold manufactured or finished goods - NZ only,Mining,1,total,C0202.01,39
Markets where business sold manufactured or finished goods - NZ only,Manufacturing,1,total,C0202.01,2538
Markets where business sold manufactured or finished goods - NZ only,"Food, beverage, & tobacco",2,total,C0202.01,360
Markets where business sold manufactured or finished goods - NZ only,"Textile, clothing, footwear, & leather",2,total,C0202.01,90
Markets where business sold manufactured or finished goods - NZ only,Wood & paper product,2,total,C0202.01,345
Markets where business sold manufactured or finished goods - NZ only,"Printing, publishing, & recorded media",2,total,C0202.01,132
Markets where business sold manufactured or finished goods - NZ only,"Petroleum, coal, chemical, & associated product",2,total,C0202.01,126
Markets where business sold manufactured or finished goods - NZ only,Non-metallic mineral product,2,total,C0202.01,120
Markets where business sold manufactured or finished goods - NZ only,Metal product,2,total,C0202.01,606
Markets where business sold manufactured or finished goods - NZ only,Transport and industrial machinery & equipment,2,total,C0202.01,480
Markets where business sold manufactured or finished goods - NZ only,Other machinery & equipment,2,total,C0202.01,72
Markets where business sold manufactured or finished goods - NZ only,Other manufacturing,2,total,C0202.01,204
Markets where business sold manufactured or finished goods - NZ only,"Electricity, gas, water, & waste services",1,total,C0202.01,33
Markets where business sold manufactured or finished goods - NZ only,Construction,1,total,C0202.01,1578
Markets where business sold manufactured or finished goods - NZ only,Wholesale trade,1,total,C0202.01,1401
Markets where business sold manufactured or finished goods - NZ only,Machinery & equipment wholesaling,2,total,C0202.01,390
Markets where business sold manufactured or finished goods - NZ only,Other wholesale trade,2,total,C0202.01,1011
Markets where business sold manufactured or finished goods - NZ only,Retail trade,1,total,C0202.01,2844
Markets where business sold manufactured or finished goods - NZ only,Accommodation & food services,1,total,C0202.01,3072
Markets where business sold manufactured or finished goods - NZ only,"Transport, postal, & warehousing",1,total,C0202.01,141
Markets where business sold manufactured or finished goods - NZ only,Information media & telecommunications,1,total,C0202.01,69
Markets where business sold manufactured or finished goods - NZ only,Publishing,2,total,C0202.01,12
Markets where business sold manufactured or finished goods - NZ only,Motion picture,2,total,C0202.01,42
Markets where business sold manufactured or finished goods - NZ only,Telecommunications,2,total,C0202.01,15
Markets where business sold manufactured or finished goods - NZ only,Financial & insurance services,1,total,C0202.01,6
Markets where business sold manufactured or finished goods - NZ only,Finance,2,total,C0202.01,6
Markets where business sold manufactured or finished goods - NZ only,Insurance,2,total,C0202.01,0
Markets where business sold manufactured or finished goods - NZ only,Auxiliary,2,total,C0202.01,0
Markets where business sold manufactured or finished goods - NZ only,"Rental, hiring, & real estate services",1,total,C0202.01,108
Markets where business sold manufactured or finished goods - NZ only,"Professional, scientific, & technical services",1,total,C0202.01,447
Markets where business sold manufactured or finished goods - NZ only,Computer systems design,2,total,C0202.01,75
Markets where business sold manufactured or finished goods - NZ only,Other professional scientific,2,total,C0202.01,375
Markets where business sold manufactured or finished goods - NZ only,Administrative & support services,1,total,C0202.01,144
Markets where business sold manufactured or finished goods - NZ only,Education & training,1,total,C0202.01,51
Markets where business sold manufactured or finished goods - NZ only,Health care & social assistance,1,total,C0202.01,162
Markets where business sold manufactured or finished goods - NZ only,Arts & recreation services,1,total,C0202.01,39
Markets where business sold manufactured or finished goods - NZ only,Other services,1,total,C0202.01,333
Markets where business sold manufactured or finished goods - NZ only,total,0,total,C0202.01,13260
Markets where business sold manufactured or finished goods - overseas only,total,0,6–19 employees,C0202.02,33
Markets where business sold manufactured or finished goods - overseas only,total,0,20–49 employees,C0202.02,21
Markets where business sold manufactured or finished goods - overseas only,total,0,50–99 employees,C0202.02,9
Markets where business sold manufactured or finished goods - overseas only,total,0,100+ employees,C0202.02,9
Markets where business sold manufactured or finished goods - overseas only,"Agriculture, forestry, & fishing",1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Agriculture,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Commercial fishing,2,total,C0202.02,3
Markets where business sold manufactured or finished goods - overseas only,Forestry & logging,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,"Agriculture, forestry, & fishing support services",2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Mining,1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Manufacturing,1,total,C0202.02,33
Markets where business sold manufactured or finished goods - overseas only,"Food, beverage, & tobacco",2,total,C0202.02,9
Markets where business sold manufactured or finished goods - overseas only,"Textile, clothing, footwear, & leather",2,total,C0202.02,3
Markets where business sold manufactured or finished goods - overseas only,Wood & paper product,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,"Printing, publishing, & recorded media",2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,"Petroleum, coal, chemical, & associated product",2,total,C0202.02,18
Markets where business sold manufactured or finished goods - overseas only,Non-metallic mineral product,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Metal product,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Transport and industrial machinery & equipment,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Other machinery & equipment,2,total,C0202.02,3
Markets where business sold manufactured or finished goods - overseas only,Other manufacturing,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,"Electricity, gas, water, & waste services",1,total,C0202.02,3
Markets where business sold manufactured or finished goods - overseas only,Construction,1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Wholesale trade,1,total,C0202.02,33
Markets where business sold manufactured or finished goods - overseas only,Machinery & equipment wholesaling,2,total,C0202.02,9
Markets where business sold manufactured or finished goods - overseas only,Other wholesale trade,2,total,C0202.02,24
Markets where business sold manufactured or finished goods - overseas only,Retail trade,1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Accommodation & food services,1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,"Transport, postal, & warehousing",1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Information media & telecommunications,1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Publishing,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Motion picture,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Telecommunications,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Financial & insurance services,1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Finance,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Insurance,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Auxiliary,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,"Rental, hiring, & real estate services",1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,"Professional, scientific, & technical services",1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Computer systems design,2,total,C0202.02,3
Markets where business sold manufactured or finished goods - overseas only,Other professional scientific,2,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Administrative & support services,1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Education & training,1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Health care & social assistance,1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Arts & recreation services,1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,Other services,1,total,C0202.02,0
Markets where business sold manufactured or finished goods - overseas only,total,0,total,C0202.02,72
Markets where business sold manufactured or finished goods - NZ and overseas,total,0,6–19 employees,C0202.03,2703
Markets where business sold manufactured or finished goods - NZ and overseas,total,0,20–49 employees,C0202.03,1029
Markets where business sold manufactured or finished goods - NZ and overseas,total,0,50–99 employees,C0202.03,444
Markets where business sold manufactured or finished goods - NZ and overseas,total,0,100+ employees,C0202.03,408
Markets where business sold manufactured or finished goods - NZ and overseas,"Agriculture, forestry, & fishing",1,total,C0202.03,177
Markets where business sold manufactured or finished goods - NZ and overseas,Agriculture,2,total,C0202.03,138
Markets where business sold manufactured or finished goods - NZ and overseas,Commercial fishing,2,total,C0202.03,12
Markets where business sold manufactured or finished goods - NZ and overseas,Forestry & logging,2,total,C0202.03,0
Markets where business sold manufactured or finished goods - NZ and overseas,"Agriculture, forestry, & fishing support services",2,total,C0202.03,30
Markets where business sold manufactured or finished goods - NZ and overseas,Mining,1,total,C0202.03,9
Markets where business sold manufactured or finished goods - NZ and overseas,Manufacturing,1,total,C0202.03,1950
Markets where business sold manufactured or finished goods - NZ and overseas,"Food, beverage, & tobacco",2,total,C0202.03,597
Markets where business sold manufactured or finished goods - NZ and overseas,"Textile, clothing, footwear, & leather",2,total,C0202.03,147
Markets where business sold manufactured or finished goods - NZ and overseas,Wood & paper product,2,total,C0202.03,114
Markets where business sold manufactured or finished goods - NZ and overseas,"Printing, publishing, & recorded media",2,total,C0202.03,66
Markets where business sold manufactured or finished goods - NZ and overseas,"Petroleum, coal, chemical, & associated product",2,total,C0202.03,282
Markets where business sold manufactured or finished goods - NZ and overseas,Non-metallic mineral product,2,total,C0202.03,39
Markets where business sold manufactured or finished goods - NZ and overseas,Metal product,2,total,C0202.03,213
Markets where business sold manufactured or finished goods - NZ and overseas,Transport and industrial machinery & equipment,2,total,C0202.03,252
Markets where business sold manufactured or finished goods - NZ and overseas,Other machinery & equipment,2,total,C0202.03,123
Markets where business sold manufactured or finished goods - NZ and overseas,Other manufacturing,2,total,C0202.03,114
Markets where business sold manufactured or finished goods - NZ and overseas,"Electricity, gas, water, & waste services",1,total,C0202.03,6
Markets where business sold manufactured or finished goods - NZ and overseas,Construction,1,total,C0202.03,18
Markets where business sold manufactured or finished goods - NZ and overseas,Wholesale trade,1,total,C0202.03,1212
Markets where business sold manufactured or finished goods - NZ and overseas,Machinery & equipment wholesaling,2,total,C0202.03,435
Markets where business sold manufactured or finished goods - NZ and overseas,Other wholesale trade,2,total,C0202.03,777
Markets where business sold manufactured or finished goods - NZ and overseas,Retail trade,1,total,C0202.03,711
